timestamp,ISODate,IdBundesland,Bundesland,Impfungenkumulativ,DifferenzzumVortag,IndikationnachAlter,BeruflicheIndikation,MedizinischeIndikation,PflegeheimbewohnerIn
1610409600,2021-01-12,9,Bayern,135986,15850,31681,68550,2310,44715
1610409600,2021-01-12,10,Saarland,10130,973,7656,1435,0,3535
1610409600,2021-01-12,11,Berlin,33798,1784,22634,10632,105,20422
1610409600,2021-01-12,12,Brandenburg,15091,1028,2426,12430,118,1162
1610409600,2021-01-12,13,Mecklenburg-Vorpommern,26926,1553,1596,13895,342,12311
1610409600,2021-01-12,14,Sachsen,23701,3945,1805,19173,1,4527
1610409600,2021-01-12,15,Sachsen-Anhalt,24413,2499,7572,11977,1075,11655
1610409600,2021-01-12,16,Thüringen,12517,1242,1074,9827,45,1249
1610496000,2021-01-13,0,Gesamt,758093,69178,186984,366029,28125,285023
1610496000,2021-01-13,1,Schleswig-Holstein,43162,4611,13202,17149,5452,18056
1610496000,2021-01-13,2,Hamburg,15980,1707,5578,6866,1503,3891
1610496000,2021-01-13,3,Niedersachsen,63200,7749,13316,32710,10409,33078
1610496000,2021-01-13,4,Bremen,7753,753,1104,3346,60,3115
1610496000,2021-01-13,5,Nordrhein-Westfalen,129472,3994,0,59599,0,69881
1610496000,2021-01-13,6,Hessen,60344,2869,15955,34864,3172,23182
1610496000,2021-01-13,7,Rheinland-Pfalz,45326,8012,10246,22730,9,12341
1610496000,2021-01-13,8,Baden-Württemberg,76762,5869,41457,22519,2980,12781
1610496000,2021-01-13,9,Bayern,150511,14525,35434,76344,2606,48443
1610496000,2021-01-13,10,Saarland,11199,1069,8358,1791,0,3790
1610496000,2021-01-13,11,Berlin,35893,2095,24446,11010,105,21428
1610496000,2021-01-13,12,Brandenburg,19590,4499,3920,15352,193,2009
1610496000,2021-01-13,13,Mecklenburg-Vorpommern,29100,2059,2076,14928,376,13031
1610496000,2021-01-13,14,Sachsen,29421,5720,2210,23650,1,5770
1610496000,2021-01-13,15,Sachsen-Anhalt,27320,2907,8533,13373,1178,12736
1610496000,2021-01-13,16,Thüringen,13060,740,1149,9798,81,1491
1610582400,2021-01-14,0,Gesamt,842455,78116,207992,408585,29949,308886
1610582400,2021-01-14,1,Schleswig-Holstein,47498,4303,14059,18157,5452,18099
1610582400,2021-01-14,2,Hamburg,18150,2129,6274,8161,1729,4195
1610582400,2021-01-14,3,Niedersachsen,70444,6679,14524,36884,11194,36307
1610582400,2021-01-14,4,Bremen,8890,1137,1181,4066,88,3420
1610582400,2021-01-14,5,Nordrhein-Westfalen,142066,9594,0,66156,0,75918
1610582400,2021-01-14,6,Hessen,62171,1827,16135,35893,3338,24013
1610582400,2021-01-14,7,Rheinland-Pfalz,54189,8109,14321,25773,10,14084
1610582400,2021-01-14,8,Baden-Württemberg,82300,5538,44631,24154,3032,13719
1610582400,2021-01-14,9,Bayern,167915,17404,40128,84910,2880,53456
1610582400,2021-01-14,10,Saarland,12243,1046,9064,2024,0,4124
1610582400,2021-01-14,11,Berlin,38408,2515,26527,11540,105,22520
1610582400,2021-01-14,12,Brandenburg,27102,7512,5612,21079,212,2545
1610582400,2021-01-14,13,Mecklenburg-Vorpommern,32998,2284,2516,16644,552,14696
1610582400,2021-01-14,14,Sachsen,34588,5167,2528,27920,1,6667
1610582400,2021-01-14,15,Sachsen-Anhalt,29448,2128,9342,14226,1274,13632
1610582400,2021-01-14,16,Thüringen,14045,744,1150,10998,82,1491
